微信支付账单明细,,,,,,,,
微信昵称：[Joanna Niu],,,,,,,,
起始时间：[2021-08-01 00:00:00] 终止时间：[2021-11-01 23:59:59],,,,,,,,
导出类型：[全部],,,,,,,,
导出时间：[2021-11-24 13:17:07],,,,,,,,
,,,,,,,,
共67笔记录,,,,,,,,
收入：3笔 1016.80元,,,,,,,,
支出：64笔 4020.68元,,,,,,,,
中性交易：0笔 0.00元,,,,,,,,
注：,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,
,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2021-11-01 13:07:14,扫二维码付款,八方A区中通搜农坊,"收款方备注:二维码收款",支出,¥8.00,零钱通,已转账,100010710121110100072133045744652753	,10001071012021110101011212386637	,"/"
2021-10-24 18:40:58,商户消费,乐,"35016723-25币-ID15349158",支出,¥20.00,零钱通,支付成功,4200001233202110245415425281	,03242110246725256601271	,"/"
2021-10-21 19:09:37,商户消费,沃尔玛,"沃尔玛购物广场长沙观沙路店",支出,¥100.48,零钱通,支付成功,4200001133202110215647573436	,61112253062556467202738	,"/"
2021-10-21 14:50:39,扫二维码付款,淡然若水,"收款方备注:二维码收款",支出,¥7.00,零钱通,已转账,100010710121102100072133561178945753	,10001071012021102101072067818623	,"/"
2021-10-21 14:46:21,商户消费,长沙市第四医院,"长沙市第四医院-门诊缴费",支出,¥3.43,零钱通,支付成功,4200001123202110212944934815	,3689500173862436882	,"/"
2021-10-21 14:18:00,商户消费,长沙市第四医院,"一楼导诊（病历本）-wap-收单",支出,¥0.50,零钱通,支付成功,4200001227202110213410356163	,3689470968084824077	,"/"
2021-10-21 14:11:51,扫二维码付款,彭建基,"收款方备注:二维码收款",支出,¥10.00,零钱通,已转账,100010710121102100072131146597244753	,10001071012021102101543552283573	,"/"
2021-10-21 13:29:55,扫二维码付款,颜与时间牵手,"收款方备注:二维码收款",支出,¥1.00,零钱通,已转账,100010710121102100072133060371682753	,10001071012021102101421166255514	,"/"
2021-10-20 19:44:53,商户消费,长沙市第四医院,"长沙市第四医院-预约挂号",支出,¥18.00,零钱通,支付成功,4200001122202110205128148359	,3688323558982811650	,"/"
2021-10-20 14:56:09,商户消费,步步高,"BBG-缴停车费",支出,¥5.00,零钱通,支付成功,4200001159202110204889908938	,WX20211020145602477891	,"/"
2021-10-17 17:01:55,商户消费,佳天国际,"临时车停车费，车牌：湘A1207M",支出,¥10.00,零钱通,支付成功,4200001177202110171574676590	,1001022202110171701245027736186	,"/"
2021-10-10 10:53:14,商户消费,沃尔玛,"订单支付",支出,¥96.06,零钱通,支付成功,4200001174202110102697266585	,SJ610020211010000000006456517	,"/"
2021-10-09 19:22:44,商户消费,星巴克,"星巴克Starbucks",支出,¥3.00,零钱通,支付成功,4200001221202110098949494883	,33778562089251230434	,"/"
2021-10-02 19:11:26,扫二维码付款,玖之发便利店,"收款方备注:二维码收款",支出,¥10.00,零钱通,已转账,100004990121100200072133119670037753	,10000499012021100201113051333599	,"/"
2021-09-30 09:52:50,微信红包,yang,"/",收入,¥0.14,/,已存入零钱,1000039801028109307110750719069	,1000039801202109307110750719069	,"/"
2021-09-28 15:57:36,扫二维码付款,玖之发便利店,"收款方备注:二维码收款",支出,¥2.00,零钱通,已转账,100004990121092800072133254738723753	,10000499012021092801561127771572	,"/"
2021-09-28 15:54:50,商户消费,滴滴出行,"滴滴快车-刘师傅-09月28日行程",支出,¥13.87,零钱通,支付成功,4200001132202109286997452311	,210_202109286848619001398954	,"/"
2021-09-28 09:37:29,扫二维码付款,徐新燕,"收款方备注:二维码收款",支出,¥200.00,零钱通,已转账,100010710121092800072133381809377753	,10001071012021092801308116597550	,"/"
2021-09-28 09:35:04,商户消费,滴滴出行,"滴滴快车-潘师傅-09月28日行程",支出,¥14.51,零钱通,支付成功,4200001235202109283254793507	,210_202109288984319301475472	,"/"
2021-09-28 08:30:35,微信红包,不负韶华,"/",收入,¥16.66,/,已存入零钱,1000039901000109277277648207078	,1000039901202109277277648207078	,"/"
2021-09-27 18:18:35,微信红包（单发）,发给湖南肖坚教练,"/",支出,¥100.00,零钱通,支付成功,100003990121092700070133322059527753	,1000039901202109276174222041097	,"/"
2021-09-27 15:01:45,商户消费,滴滴出行,"滴滴快车-王师傅-09月27日行程",支出,¥13.64,零钱通,支付成功,4200001117202109275238577279	,210_202109270978925001761087	,"/"
2021-09-25 12:19:01,商户消费,滴滴出行,"滴滴快车-单师傅-09月25日行程",支出,¥12.93,零钱通,支付成功,4200001223202109253200142684	,210_202109255361024301671839	,"/"
2021-09-25 11:58:25,微信红包（单发）,发给湖南肖坚教练,"/",支出,¥200.00,零钱通,支付成功,100003990121092500070131203330928753	,1000039901202109256201687076115	,"/"
2021-09-25 10:14:52,商户消费,滴滴出行,"滴滴定制车-吴师傅",支出,¥21.96,零钱通,支付成功,4200001228202109257139987868	,297_202109250851838201497239	,"/"
2021-09-24 12:15:50,扫二维码付款,玖之发便利店,"收款方备注:二维码收款",支出,¥3.00,零钱通,已转账,100004990121092400072133352716899753	,10000499012021092401626379654572	,"/"
2021-09-20 21:01:12,商户消费,步步高,"BBG-缴停车费",支出,¥30.00,零钱通,支付成功,4200001195202109204537460391	,WX20210920210104843239	,"/"
2021-09-20 18:48:39,商户消费,良品铺子股份有限公司,"拼团购买商品",支出,¥1.00,零钱通,支付成功,4200001134202109208888718497	,lppz00021632134913663001	,"/"
2021-09-13 15:21:40,商户消费,滴滴出行,"滴滴快车-于师傅-09月13日行程",支出,¥16.86,零钱通,支付成功,4200001203202109136668835174	,210_202109137429763801851332	,"/"
2021-09-13 11:15:29,扫二维码付款,刘国民食品店,"收款方备注:二维码收款",支出,¥1.50,零钱通,已转账,100004990121091300072131049778761753	,10000499012021091301730545991521	,"/"
2021-09-13 10:45:04,商户消费,滴滴出行,"滴滴快车-刘师傅-09月13日行程",支出,¥23.68,零钱通,支付成功,4200001212202109136702608142	,210_202109130983767101618740	,"/"
2021-09-12 15:44:40,商户消费,滴滴出行,"滴滴快车-龚师傅-09月12日行程",支出,¥23.30,零钱通,支付成功,4200001119202109121096557427	,210_202109126743994501709251	,"/"
2021-09-12 13:53:38,转账,麓谷考场李教练18163642301,"转账备注:微信转账",支出,¥200.00,零钱通,朋友已收钱,100005000121091200070132838073613753	,1000050001202109121905938405182	,"/"
2021-09-11 17:25:46,商户消费,滴滴出行,"滴滴快车-陈师傅-09月11日行程",支出,¥25.97,零钱通,支付成功,4200001119202109117048384702	,210_202109113411647301984905	,"/"
2021-09-11 16:43:09,转账,无厘学车·黄雷,"转账备注:微信转账",支出,¥100.00,零钱通,朋友已收钱,100005000121091100070132833540461753	,1000050001202109111705078496007	,"/"
2021-09-11 16:22:48,商户消费,护驾E方,"驾考训练支付",支出,¥5.00,零钱通,支付成功,4200001228202109119384730425	,886285564792274944	,"/"
2021-09-11 16:20:12,商户消费,滴滴出行,"滴滴快车-胡师傅-09月11日行程",支出,¥14.23,零钱通,支付成功,4200001235202109116253745620	,210_202109114059043701930546	,"/"
2021-09-10 16:15:47,商户消费,滴滴出行,"滴滴快车-王师傅-09月10日行程",支出,¥19.24,零钱通,支付成功,4200001204202109108909687473	,210_202109107418774401042060	,"/"
2021-09-10 15:50:48,转账,无厘学车·黄雷,"转账备注:微信转账",支出,¥100.00,零钱通,朋友已收钱,100005000121091000070132927310438753	,1000050001202109100301170463362	,"/"
2021-09-10 13:51:54,商户消费,滴滴出行,"滴滴快车-杨师傅-09月10日行程",支出,¥20.74,零钱通,支付成功,4200001216202109104452780531	,210_202109107428260701519532	,"/"
2021-09-09 19:28:17,扫二维码付款,玖之发便利店,"收款方备注:二维码收款",支出,¥14.00,零钱通,已转账,100004990121090900072133133896152753	,10000499012021090901460557543616	,"/"
2021-09-09 16:33:40,商户消费,滴滴出行,"滴滴快车-梁师傅-09月09日行程",支出,¥19.45,零钱通,支付成功,4200001224202109094139685823	,210_202109094144974501966483	,"/"
2021-09-09 16:12:15,转账,无厘学车·黄雷,"转账备注:微信转账",支出,¥100.00,零钱通,朋友已收钱,100005000121090900070131016048982753	,1000050001202109091301509436079	,"/"
2021-09-09 14:48:15,商户消费,滴滴出行,"滴滴快车-周师傅-09月09日行程",支出,¥17.61,零钱通,支付成功,4200001203202109099111079878	,210_202109090893471401382926	,"/"
2021-09-09 14:11:57,商户消费,滴滴出行,"套餐",支出,¥10.99,零钱通,支付成功,4200001125202109098935721545	,175_202109097427801802856328	,"/"
2021-09-04 19:51:44,商户消费,沃尔玛,"wechatMicroPay",支出,¥56.60,零钱通,支付成功,4200001119202109045504406080	,82738210026976958404	,"/"
2021-09-01 10:50:28,商户消费,长房八方C区,"湘A1207M停车费",支出,¥5.00,零钱通,支付成功,4200001130202109016402179371	,100421090110501920507109	,"/"
2021-09-01 10:18:13,商户消费,今可乐儿童平台,"T2021090110180741173m3994",支出,¥2.00,零钱通,支付成功,4200001211202109019060981236	,T2021090110180741173m3994	,"/"
2021-09-01 10:11:03,转账-退款,/,"转账备注:微信转账",收入,¥1000.00,零钱通,已全额退款,1000050001202108311907941257160	,	,"/"
2021-09-01 09:59:36,商户消费,今可乐儿童平台,"T2021090109592531542m4186",支出,¥2.00,零钱通,支付成功,4200001227202109015091124419	,T2021090109592531542m4186	,"/"
2021-08-31 14:45:50,扫二维码付款,万和物业五一新干线,"收款方备注:二维码收款",支出,¥10.00,零钱通,已转账,100010710121083100072133455269844753	,10001071012021083101935374286597	,"/"
2021-08-31 10:11:01,转账,大姨,"转账备注:微信转账",支出,¥1000.00,零钱通,已全额退款,100005000121083100070132771551772753	,1000050001202108311907941257160	,"/"
2021-08-23 07:32:38,扫二维码付款,萱子便利店,"收款方备注:二维码收款",支出,¥7.00,零钱通,已转账,100004990121082300072133479101741753	,10000499012021082301673286374634	,"/"
2021-08-23 07:20:39,扫二维码付款,任新良,"收款方备注:二维码收款",支出,¥23.00,零钱通,已转账,100004990121082300072132979191909753	,10000499012021082301272613253528	,"/"
2021-08-22 12:21:36,微信红包（单发）,发给湖南肖坚教练,"/",支出,¥100.00,零钱通,支付成功,100003980121082200070131018966338753	,1000039801202108226046355660003	,"/"
2021-08-22 11:55:44,扫二维码付款,望岳投资方,"收款方备注:二维码收款",支出,¥150.00,零钱通,已转账,100010710121082200072133572601068753	,10001071012021082201534484769531	,"/"
2021-08-22 11:46:47,扫二维码付款,sweeting,"收款方备注:二维码收款",支出,¥300.00,零钱通,已转账,100004990121082200072133072146976753	,10000499012021082201125903606540	,"/"
2021-08-22 10:14:09,扫二维码付款,sweeting,"收款方备注:二维码收款",支出,¥150.00,零钱通,已转账,100010710121082200072133070945284753	,10001071012021082201877796935573	,"/"
2021-08-21 15:32:47,微信红包（单发）,发给湖南肖坚教练,"/",支出,¥100.00,零钱通,支付成功,100003980121082100070133221204034753	,1000039801202108216134483203032	,"/"
2021-08-19 16:18:55,微信红包（单发）,发给湖南肖坚教练,"/",支出,¥100.00,零钱通,支付成功,100003990121081900070132811040596753	,1000039901202108196352906816069	,"/"
2021-08-19 08:40:32,商户消费,沃尔玛,"订单支付",支出,¥80.00,零钱通,支付成功,4200001154202108197127635725	,SJ610020210819000000001683672	,"/"
2021-08-16 19:24:24,微信红包（单发）,发给湖南肖坚教练,"/",支出,¥100.00,零钱通,支付成功,100003990121081600070131290603655753	,1000039901202108166091564240057	,"/"
2021-08-13 13:25:33,商户消费,沃尔玛,"订单支付",支出,¥79.80,零钱通,支付成功,4200001200202108139259433304	,SJ610020210813000000073167278	,"/"
2021-08-07 10:16:37,商户消费,沃尔玛,"订单支付",支出,¥90.20,零钱通,支付成功,4200001191202108075201084147	,SJ610020210807000000009351322	,"/"
2021-08-03 10:45:23,商户消费,滴滴出行,"滴滴快车-余师傅-08月03日行程",支出,¥22.53,零钱通,支付成功,4200001211202108032628182870	,210_202108037170123301843720	,"/"
2021-08-03 10:20:00,商户消费,滴滴出行,"滴滴打车-陈师傅",支出,¥21.60,零钱通,支付成功,4200001122202108035059528923	,105_202108031947785601157723	,"/"
2021-08-03 09:06:36,扫二维码付款,刘国民食品店,"收款方备注:二维码收款",支出,¥3.00,零钱通,已转账,100010710121080300072133478860719753	,10001071012021080301334209641643	,"/"
